Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Compr_min;Compr_max;Loc_min;Loc_max
D;D33;MI00004780;8;Capannoni industriali;OTTIMO;800;1000;4,1;5,5
D;D33;MI00004780;7;Capannoni tipici;OTTIMO;850;1150;4,2;5,8
D;D33;MI00004780;10;Laboratori;NORMALE;750;1000;4,6;6,3
D;D34;MI00004781;20;Abitazioni civili;OTTIMO;2650;3800;8,6;12,4
D;D34;MI00004781;20;Abitazioni civili;NORMALE;2100;2650;6;8,4
D;D34;MI00004781;21;Abitazioni di tipo economico;OTTIMO;2200;2600;6,5;8,3
D;D34;MI00004781;21;Abitazioni di tipo economico;NORMALE;1500;2100;4,8;6,3
D;D34;MI00004781;13;Box;NORMALE;1300;1700;4,8;7
D;D34;MI00004781;9;Magazzini;NORMALE;550;800;3;4,1
D;D34;MI00004781;5;Negozi;NORMALE;1250;1700;7,3;10
D;D34;MI00004781;6;Uffici;OTTIMO;1500;2000;7,6;10
D;D34;MI00004781;18;Uffici strutturati;OTTIMO;2100;3000;11,5;16,5
D;D34;MI00004781;8;Capannoni industriali;OTTIMO;750;1000;4;5,5
D;D34;MI00004781;7;Capannoni tipici;OTTIMO;800;1050;4,2;5,2
D;D34;MI00004781;10;Laboratori;NORMALE;700;950;4;5,8
D;D35;MI00004782;20;Abitazioni civili;OTTIMO;2450;3600;8,4;11,5
D;D35;MI00004782;20;Abitazioni civili;NORMALE;1800;2400;6,5;8,3
D;D35;MI00004782;21;Abitazioni di tipo economico;OTTIMO;1650;2450;5,8;8
D;D35;MI00004782;21;Abitazioni di tipo economico;NORMALE;1500;1650;5;5,8
D;D35;MI00004782;13;Box;NORMALE;1200;1800;5,5;8,2
D;D35;MI00004782;9;Magazzini;NORMALE;650;800;4;5
D;D35;MI00004782;5;Negozi;NORMALE;1450;2200;6,8;10,3
D;D35;MI00004782;6;Uffici;OTTIMO;1550;2250;7,3;9,8
D;D35;MI00004782;18;Uffici strutturati;OTTIMO;2100;2750;11;14,4
D;D35;MI00004782;8;Capannoni industriali;OTTIMO;800;1050;4,3;6
D;D35;MI00004782;7;Capannoni tipici;OTTIMO;700;1000;4;5,8
D;D35;MI00004782;10;Laboratori;NORMALE;800;1200;4,5;7,2
D;D36;MI00004783;20;Abitazioni civili;OTTIMO;2650;3600;9,3;12
D;D36;MI00004783;20;Abitazioni civili;NORMALE;2100;2600;7,2;9,2
D;D36;MI00004783;21;Abitazioni di tipo economico;OTTIMO;2050;2700;7,2;9,3
D;D36;MI00004783;21;Abitazioni di tipo economico;NORMALE;1650;2050;5,6;7,1
D;D36;MI00004783;13;Box;NORMALE;1350;2000;6;9
D;D36;MI00004783;9;Magazzini;NORMALE;600;850;3,5;5
D;D36;MI00004783;5;Negozi;NORMALE;1250;1950;7,3;11
D;D36;MI00004783;6;Uffici;OTTIMO;1550;2250;7;10,3
D;D36;MI00004783;18;Uffici strutturati;OTTIMO;2000;2900;10,3;15
D;D36;MI00004783;8;Capannoni industriali;OTTIMO;850;1000;4,8;5,8
D;D36;MI00004783;7;Capannoni tipici;OTTIMO;800;1050;4,3;6
D;D36;MI00004783;10;Laboratori;NORMALE;800;1200;4,8;7,2
E;E5;MI00004784;20;Abitazioni civili;OTTIMO;2300;2600;7,5;8,5
E;E5;MI00004784;20;Abitazioni civili;NORMALE;1650;2300;5;7,4
E;E5;MI00004784;21;Abitazioni di tipo economico;NORMALE;1350;1600;4,7;5,8
E;E5;MI00004784;21;Abitazioni di tipo economico;OTTIMO;1650;2050;6;7
E;E5;MI00004784;13;Box;NORMALE;1100;1300;4,8;5,8
E;E5;MI00004784;1;Ville e Villini;NORMALE;1800;2300;6;7,6
E;E5;MI00004784;1;Ville e Villini;OTTIMO;2400;2750;7,8;9,5
E;E5;MI00004784;9;Magazzini;NORMALE;450;550;2;3
E;E5;MI00004784;5;Negozi;NORMALE;800;1200;4;6,5
E;E5;MI00004784;6;Uffici;OTTIMO;900;1300;4,5;5,8
E;E5;MI00004784;18;Uffici strutturati;OTTIMO;1600;2150;9,3;12,5
E;E5;MI00004784;8;Capannoni industriali;OTTIMO;600;850;3,5;5,2
E;E5;MI00004784;7;Capannoni tipici;OTTIMO;600;900;3,6;5,2
E;E5;MI00004784;10;Laboratori;NORMALE;500;650;3;3,8
E;E6;MI00004785;20;Abitazioni civili;OTTIMO;2200;2900;7,8;10,3
E;E6;MI00004785;20;Abitazioni civili;NORMALE;1700;2100;5,7;7,5
E;E6;MI00004785;21;Abitazioni di tipo economico;OTTIMO;1550;1700;5,5;6,2
E;E6;MI00004785;21;Abitazioni di tipo economico;NORMALE;1200;1550;4,3;5,4
E;E6;MI00004785;13;Box;NORMALE;1150;1400;5,2;6,2
E;E6;MI00004785;9;Magazzini;NORMALE;300;450;1,8;2,5
E;E6;MI00004785;5;Negozi;NORMALE;900;1400;5,1;8,6
E;E6;MI00004785;6;Uffici;OTTIMO;1150;1700;6;8,5
E;E6;MI00004785;18;Uffici strutturati;OTTIMO;1750;2650;9,5;14,3
E;E6;MI00004785;8;Capannoni industriali;OTTIMO;700;950;4;5,5
E;E6;MI00004785;7;Capannoni tipici;OTTIMO;700;950;4;5,8
E;E6;MI00004785;10;Laboratori;NORMALE;500;700;3;4
E;E7;MI00004786;20;Abitazioni civili;OTTIMO;2100;3100;7;10
E;E7;MI00004786;20;Abitazioni civili;NORMALE;1600;2050;5,3;6,7
E;E7;MI00004786;21;Abitazioni di tipo economico;OTTIMO;1300;1700;4,5;6
E;E7;MI00004786;21;Abitazioni di tipo economico;NORMALE;1050;1300;3,8;4,5
E;E7;MI00004786;13;Box;NORMALE;1100;1600;4,8;7
E;E7;MI00004786;9;Magazzini;NORMALE;350;500;2;3
E;E7;MI00004786;5;Negozi;NORMALE;800;1200;4,2;7
E;E7;MI00004786;6;Uffici;OTTIMO;1250;1500;6,3;7,8
E;E7;MI00004786;18;Uffici strutturati;OTTIMO;1350;2100;8,2;11,8
E;E7;MI00004786;8;Capannoni industriali;OTTIMO;750;900;4,2;5,4
E;E7;MI00004786;7;Capannoni tipici;OTTIMO;700;900;4;5,2
E;E7;MI00004786;10;Laboratori;NORMALE;450;700;2,5;4
E;E8;MI00004787;20;Abitazioni civili;OTTIMO;1900;2800;6,2;9,2
E;E8;MI00004787;20;Abitazioni civili;NORMALE;1650;1900;5;6,2
E;E8;MI00004787;21;Abitazioni di tipo economico;OTTIMO;1650;2100;5,4;6,7
E;E8;MI00004787;21;Abitazioni di tipo economico;NORMALE;1400;1600;4;5,4
E;E8;MI00004787;13;Box;NORMALE;900;1300;4,3;5,8
E;E8;MI00004787;9;Magazzini;NORMALE;400;600;2,2;3,4
E;E8;MI00004787;5;Negozi;NORMALE;900;1550;4;7
E;E8;MI00004787;6;Uffici;OTTIMO;1100;1600;5,9;8,3
E;E8;MI00004787;18;Uffici strutturati;OTTIMO;1550;2100;8,3;11
E;E8;MI00004787;8;Capannoni industriali;OTTIMO;700;950;3,8;5
E;E8;MI00004787;7;Capannoni tipici;OTTIMO;750;1000;4;5,4
E;E8;MI00004787;10;Laboratori;NORMALE;650;850;3,9;5,2
